dataset_name,model,accuracy_syn_test,accuracy_train_test,fidelity
dna,TensorConFormerEnc,0.8463949843260188,0.9686520376175548,0.8652037617554859
dna,TensorConFormerDec,0.8683385579937304,0.9686520376175548,0.8840125391849529
splice,VAE,0.9529780564263323,0.9529780564263323,0.9592476489028213
splice,TensorContracted,0.9529780564263323,0.9529780564263323,0.9655172413793104
splice,TensorConFormer,0.9592476489028213,0.9529780564263323,0.9623824451410659
splice,Transformed,0.6081504702194357,0.9529780564263323,0.6018808777429467
splice,TensorConFormerEnc,0.9592476489028213,0.9529780564263323,0.9749216300940439
splice,TensorConFormerDec,0.9373040752351097,0.9529780564263323,0.9498432601880877
kr-vs-kp,VAE,0.928125,0.990625,0.91875
kr-vs-kp,TensorContracted,0.946875,0.990625,0.95625
kr-vs-kp,TensorConFormer,0.903125,0.990625,0.9
kr-vs-kp,Transformed,0.71875,0.990625,0.715625
kr-vs-kp,TensorConFormerEnc,0.928125,0.990625,0.925
kr-vs-kp,TensorConFormerDec,0.925,0.990625,0.921875
sick,VAE,0.9391534391534392,0.9920634920634921,0.9417989417989417
sick,TensorContracted,0.9365079365079365,0.9920634920634921,0.9444444444444444
sick,TensorConFormer,0.9708994708994709,0.9920634920634921,0.9788359788359788
sick,Transformed,0.9285714285714286,0.9920634920634921,0.9365079365079365
sick,TensorConFormerEnc,0.9391534391534392,0.9920634920634921,0.9417989417989417
sick,TensorConFormerDec,0.955026455026455,0.9920634920634921,0.9629629629629629
spambase,VAE,0.8850325379609545,0.9327548806941431,0.9045553145336226
spambase,TensorContracted,0.8655097613882863,0.9327548806941431,0.8937093275488069
spambase,TensorConFormer,0.8980477223427332,0.9327548806941431,0.9262472885032538
spambase,Transformed,0.5314533622559653,0.9327548806941431,0.559652928416486
spambase,TensorConFormerEnc,0.8590021691973969,0.9327548806941431,0.8655097613882863
spambase,TensorConFormerDec,0.9045553145336226,0.9327548806941431,0.9370932754880694
wilt,VAE,0.9731404958677686,0.981404958677686,0.9793388429752066
wilt,TensorContracted,0.9772727272727273,0.981404958677686,0.9834710743801653
wilt,TensorConFormer,0.9752066115702479,0.981404958677686,0.9855371900826446
wilt,Transformed,0.9545454545454546,0.981404958677686,0.96900826446281
wilt,TensorConFormerEnc,0.9793388429752066,0.981404958677686,0.9896694214876033
wilt,TensorConFormerDec,0.981404958677686,0.981404958677686,0.987603305785124
churn,VAE,0.836,0.94,0.876
churn,TensorContracted,0.868,0.94,0.904
churn,TensorConFormer,0.856,0.94,0.892
churn,Transformed,0.842,0.94,0.882
churn,TensorConFormerEnc,0.85,0.94,0.878
churn,TensorConFormerDec,0.852,0.94,0.884
phoneme,VAE,0.7171903881700554,0.9001848428835489,0.7208872458410351
phoneme,TensorContracted,0.7301293900184843,0.9001848428835489,0.7597042513863216
phoneme,TensorConFormer,0.7726432532347505,0.9001848428835489,0.7615526802218114
phoneme,Transformed,0.6839186691312384,0.9001848428835489,0.6654343807763401
phoneme,TensorConFormerEnc,0.7597042513863216,0.9001848428835489,0.7781885397412199
phoneme,TensorConFormerDec,0.744916820702403,0.9001848428835489,0.7597042513863216
wall-robot-navigation,VAE,0.8534798534798534,0.9926739926739927,0.8608058608058609
wall-robot-navigation,TensorContracted,0.8937728937728938,0.9926739926739927,0.8937728937728938
wall-robot-navigation,TensorConFormer,0.8901098901098901,0.9926739926739927,0.8974358974358975
wall-robot-navigation,Transformed,0.7380952380952381,0.9926739926739927,0.7417582417582418
wall-robot-navigation,TensorConFormerEnc,0.9084249084249084,0.9926739926739927,0.9120879120879121
wall-robot-navigation,TensorConFormerDec,0.9084249084249084,0.9926739926739927,0.9120879120879121
texture,VAE,0.9581818181818181,0.9836363636363636,0.9509090909090909
texture,TensorContracted,0.9581818181818181,0.9836363636363636,0.9527272727272728
texture,TensorConFormer,0.9618181818181818,0.9836363636363636,0.9527272727272728
texture,Transformed,0.7145454545454546,0.9836363636363636,0.7109090909090909
texture,TensorConFormerEnc,0.9563636363636364,0.9836363636363636,0.9509090909090909
